"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","external_clips_information","false","","true","true","false","false","false","true","HubSpot","","94.04%"
"Owner","hubspot_owner_id","enumeration","The owner of the object.","external_clips_information","false","","false","true","false","true","false","true","HubSpot","Automation platform flow (1); Sales view (25); Properties v3 card (1)","94.04%"
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","external_clips_information","false","","true","true","false","true","false","true","HubSpot","","0%"
"Is duplicate","is_duplicate","enumeration","Whenever we find a clip on tiktok and later on we find the same content on instagram but we want to keep record of both clips.","external_clips_information","true","Yes (true); No (false)","false","false","false","false","false","false","Quantastic Management","Properties v3 card (1)","0.01%"
"Is part of","is_part_of","enumeration","","external_clips_information","true","Yes (true); No (false)","false","false","false","false","false","false","Quantastic Management","Sales view (1)","0.21%"
"License exists?","license_exists","bool","","external_clips_information","false","True (true); False (false)","true","false","true","false","false","false","Quantastic Management","Rollup property (1); Sales view (1); Association table card (1)","99.56%"
"Link","link","string","","external_clips_information","true","","false","false","false","false","false","false","Unknown user","Automation platform flow (1); Object requirement (1); Flow action (1); Report (10); Sales view (26); Properties v3 card (1)","100%"
"Link Distributor","link_distributor","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (20); Properties v3 card (1)","0.2%"
"Link Not Working Anymore","link_not_working_anymore","enumeration","","external_clips_information","true","Yes (true); No (false)","false","false","false","false","false","false","Quantastic Management","Sales view (20); Properties v3 card (1)","86.52%"
"Notes","notes","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (20); Properties v3 card (1)","0.02%"
"Num of Associated External Clips","num_of_associated_external_clips","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Sales view (1)","100%"
"Num of Creators","num_of_creators","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Automation platform flow (1)","100%"
"Num of Private Video Project","num_of_private_video_project","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Sales view (1)","100%"
"Num of Published Video Project","num_of_published_video_project","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (15); Sales view (17); Association v3 card (1)","100%"
"Num of Trims","num_of_trims","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (1); Sales view (2)","100%"
"Num of Trims of Published Video Projects","num_of_trims_of_public_video_projects","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Sales view (2)","100%"
"Num of Video Projects","num_of_video_projects","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (3); Sales view (21)","100%"
"Num of Video Projects in Progress","num_of_video_projects_in_progress","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","","100%"
"Old CRM ID Unique","old_crm_id_unique","number","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (20)","86.52%"
"Original Clip","original_clip","string","","external_clips_information","true","","false","false","false","true","false","false","Quantastic Management","Properties v3 card (1)","1.05%"
"Score","score","enumeration","","external_clips_information","true","XL; L; M; S; XS; Non-Acceptable","false","false","false","false","false","false","Quantastic Management","Report (4); Sales view (22); Association table card (1); Properties v3 card (1); Association v3 card (1)","20.15%"
"Sum of Pub Videos WTP","sum_of_pub_videos_wtp","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Sales view (21)","28.6%"
"Tags","tags","enumeration","","external_clips_information","true","Art; Food; Satisfying; Subjects; Drawing; Funny; Photography; Tips&Hacks; Cosplay; Glass; Crafts; Hair; Miniature; Procreate; 3D; Cakes; Epoxy; Wood; Fashion; Painting; Candles; Jewelry; LEGO; Polymer clay; Cute; Pottery/Ceramics; Sculpture; Animation; Unexpected; Illusion; Digital; Anime; Graffiti; Nails; Rugs/Tufting; Calligraphy; Performance; Home decoration; Plants; Oddly Satisfying; 3d drawing; DIY; Makeup; Render; Product; Crochet; Customization; Love; Collage/Journal; Calming; Costumes; SFX; Paper; Street Art; Sand; Balloon; Tools; ASMR; Tattoo; Chalk; Metal; Crazy; Fluidart; Carving; Embroidery; Spooky; Sewing (embroidery); Stopmotion; Spray/Airbrush; Flipbook; Pets; Hyperrealistic; Tiktok related; How to; Glowup; 3D Art; 3D Pen; 3D Print; 4 Elements; 4Th July; Abstract; Accessories; Acrylic; Adventure Time; Advertisement; After Effects; AI; Akira; Alice In Wonderland; Alien; Amigurumi; Among Us; Animals; Apple; AR; Arcane; Architecture; Ariana Grande; Art Tools; Attack On Titans; Avatar; Avocado; Axolotl; Bamboo; Barbie; Batman; Baymax; Beads; Beetlejuice; Bike; Birthday; Blue; Bluey; Board Games; Books; Bored; Bridgerton; BTS; Bubble Tea; Budget; Button; Capybara; Cardboard; Carebears; Cars; Cartoon; Casting; Cats; Celebrity; Ceramic; CGI; Chainsaw Man; Charms; Chess; Chiikawa; Chill Guy; China; Chocolate; Christmas; Classic; Classroom; Clay; Coffee; Collectibles; Coloring; Comic; Computer; Construction; Cookies; Coraline; Corn; Craft; Creatures; Crocs; Cross Stitching; Cursed; Dandadan; Dandy's World; Dark; DC; Deadpool; Demon Slayer; Dinsey; Diorama; Disney; Disney Princess; Dogs; Doll House; Dolls; Doodle; Doraemon; Dragon Ball; Drinks; Dye Tie; Easy; Elemental; Encanto; Experiments; Eyeshadow; F1; Fall; Fantasy; Felt; Figurines; Flowers; Fluid Art; FNAF; Football; Fortnite; Friends; Frogs; Frozen; Fruit; Fruits; Game Of Thrones; Garfield; Genshin; Giant; Gift Card; Gifts; Glow; Gravity Falls; Green; Grinch; Gudetama; Hacks; Halloween; Harry Potter; Hazbin Hotel; Hello Kitty; Hena; Home Decor; Hot Wheels; Ice; Illusions; Inside Out; Iron Man; Japanese; Jelly; Jelly Cakes; Jelly Cat; Joker; Journal; Jujutsu Kaisen; Jurassic Park; Kawaii; Keyboard; Keychains; Kids; Kirby; KPOP; KPOP Demon Hunters; Labubu; Ladybug; Lakers T-Shirt; Latte Art; League of Legends; Lettering; Logo; LOL; Lollipop; Loom; Looney Tunes; Lord Of The Rings; Luca; M&M; Macrame; Madagascar; Magnet; Make Up; Makeover; Mandala; Manga; Marine; Mario; Marshmallow; Marvel; Mask; Meme; Miffy; Minecraft; Minions; Miraculous; Moana; Money Heist; Monster High; Monsters Inc; Movies; Mushrooms; My Hero Academia; My Little Pony; Naruto; Nature; Nemo; Nintendo; Nostalgia; Oil Painting; One Piece; Orange Color; Party Decoration; Peppa Pig; Perler Beads; Phone Case; Pikmin; Pink; Pipe Cleaners; Pixar; Pixel Art; Plastic; Pokemon; Pottery; Power Puff Girls; Purple; Rainbow; Real Or Fake; Reborn; Recycling; Red; Restor; Retro; Rick & Morty; Roblox; Robot; Rock; Rubiks Cube; Rugs; Sanrio; School; Science; Scrapbooking; Sesame Street; Setup; Sewing; Shrek; Skibidibi; Skillful; Skills; Slime; Smiski; Snoopy; Snow; Soap; Sonic; Sonny Angel; South Park; Spiderman; Spongebob; Sports; Squid Game; Squishy; Star Wars; Stationery; Steven Universe; Stickers; Stitch; Stone; Stop Motion; Stranger Things; Studio Ghibli; Sugar; Summer; Super Mario; Superheroes; Sylvanian; Tamagochi; Tangled; Teen; The Last Of Us; The Simpsons; Tie-Dye; Tim Burton; Toothless; Toy Story; Toys; Transformers; Tree; Trend; Trends; Trust The Process; Tufting; TV Series; Twilight; Up; Van Gogh; Vfx; Videogames; WallE; Watercolor; Wax Seal; Wednesday; Wes Anderson; Wicked; Winnie The Pooh; Winter; Woman; Zelda; Fidget (13); zootopia (26); Brainrot (32); Magic tricks (34); easter (35); Character (38); Origami (39); Filming (40); Puzzle (42); Outfits","false","false","false","false","false","false","Quantastic Management","Automation platform flow (1); Report (3); Sales view (24); Association table card (1); Properties v3 card (1); Association v3 card (1)","77.26%"
"To Delete","to_delete","bool","","external_clips_information","true","Yes (true); No (false)","false","false","false","false","false","false","Quantastic Management","Sales view (1)","0%"
"Used in Video Tag","used_in_video_tag","enumeration","","external_clips_information","true","Procreate; Halloween Treats; Photo Tips and Hacks; Classic; Harry Potter; Pottery; Lilo and Stitch; Shrek; Love; Miraculous Ladybug; LEGO; Anime; Halloween Makeup; Face Mask; Funniest People; Marvel; 3D Art; Art Tips and Hacks; Studio Ghibli; Art Things to do When Bored; Cakes; Cute Art; Wood; Food; D1; Experiments; Flowers; Art Tools; Pixar; Nintendo; Satisfying Art; Recycling; XXL Art; Khaby Lame; 3D Printer; Creative Women; Sponge Bob; Street Art; Calligraphy; Minecraft; Brand logo; Epoxy; Miniature Creations; Nail Art; Lego Rome D1; Bubble Tea; Demon Slayer; Shoe Makeovers; Outfits; Anime Tips and Hacks; Disney Princess; Crochet; Product; Doodle art; Pokemon; Hello Kitty; Cosplay; Jewelry; Illusions; Unexpected; Teen Room Makeover; Axolotl; Naruto; Mushrooms and Frogs; Christmas Crafts; Paper Flowers; Wicked; Pets; Halloween crafts; Real or Fake; Minions; Among us; Easy Clay; Sugar Art; Jelly cakes; Rainbow; Taylor Swift; Squishy Toys; Mind blowing Digital Art; Fantasy; Painting; Celebrity; Spooky Art; Snow; Paper Ideas; Realistic Food Polymer Clay D1; Skillful; Cartoon; Avatar; Halloween cupcakes and cakes; Hair; One Piece; Squid Game; Barbie; Fashion upcycling; Sonic; Capybara; Labubu; Toys; Metal; Inside Out; Sand; Chainsaw Man; Makeup; FNAF; Cardboard; Beads; The Rock; Phone Cases; Adventure Time; Creative Easy Skills; Disney; Crazy Art; Polymer clay; Tim Burton; Glass; Creative Amazing Skills; Hazbin Hotel; Makeup Hacks; Wednesday Addams; Toothless; Tufting; Oddly Satisfying; Star Wars; Party Decoration; IKEA hacks; Journal; Kpop; Hands Tips and Hacks; Snoopy; Trees Tips and Hacks; Simpson; Latte art; Designer on budget; Balloon; Birthday ideas; BTS; Cats; Bluey and Peppa Pig; Scrapbooking; Cute Food; Glow Art; Rainbow Cake; Luca; Halloween costumes; Spider man; Cake Tips and Hacks; Cute cakes; Videogames; Kirby; Marshmallow; Gift Wrapping; Pipe Cleaners; Sketchbook; Product Photo; Accessories; Sea Animals; Baymax; Toilet Paper; Encanto; Trust the Process; Chocolate creations; Stop Motion; Winnie the Pooh; Money Heist; Corn; Billie Eilish; AI art; Embroidery; Meme art; Rick and Morty; ASMR art; Tattoo ideas; School; Arcane; Coraline; Tie Dye; Van Gogh; Relaxing Art; Hyperrealistic; Best Friends; Nostalgic Art; Air Dry Clay; Candles; Super Mario; Football; Decorate on Budget; Stranger Things; Christmas Baking; Gift Cards; Books","false","false","false","false","false","false","Quantastic Management","Report (1); Properties v3 card (1)","34.15%"
"Comments","comments","number","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (3); Properties v3 card (2)","0.25%"
"Likes","likes","number","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (3); Properties v3 card (2)","0.25%"
"Plays","plays","number","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (3); Properties v3 card (2)","0.19%"
"Posted Date","posted_date","date","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (3); Properties v3 card (2)","0.39%"
"Shares","shares","number","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (3); Properties v3 card (2)","0.19%"
"Social Media Caption","social_media_caption","string","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1); Properties v3 card (2)","0.23%"
"Social Media Tags","social_media_tags","string","","social_media_metrics","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1); Properties v3 card (2)","0.19%"
